ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
23759074;57.2;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.002;23759071;0;0;0;0;0.912;578.75;0;0;0;-0.013;0.013;1;23759073;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23759170;57.2;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.002;23759071;0;0;0;0;0.912;578.75;0;0;0;-0.013;0.013;1;23759073;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23759268;57.3;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.002;23759174;0;0;0;0;0.912;578.757;0;0;0;-0.013;0.013;1;23759175;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23759415;57.2;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.002;23759270;0;0;0;0;0.912;578.727;0;0;0;-0.013;0.013;1;23759270;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23759511;57.3;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.002;23759416;0;0;0;0;0.912;578.733;0;0;0;-0.013;0.013;1;23759417;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23759609;57.3;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.002;23759515;0;0;0;0;0.912;578.675;0;0;0;-0.013;0.013;1;23759516;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23759709;57.2;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23759615;0;0;0;0;0.912;578.712;0;0;0;-0.013;0.013;1;23759615;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23759856;57.3;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23759709;0;0;0;0;0.912;578.688;0;0;0;-0.013;0.013;1;23759758;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23759958;57.3;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23759904;0;0;0;0;0.912;578.682;0;0;0;-0.013;0.013;1;23759904;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23760096;57.3;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0.001;23760048;0;0;0;0;0.912;578.736;0;0;0;-0.013;0.013;1;23760048;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23760296;57.2;19.4;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0.001;23760247;0;0;0;0;0.912;578.747;0;0;0;-0.013;0.013;1;23760247;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
23760444;57.4;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23760442;0;0;0;0;0.912;578.791;0;0;0;-0.013;0.013;1;23760442;0;0;0;0;0;0;0;0;0;23760047;54.69460250;25.25052538;108.12519083;0.00000000;0.00000000;4.00000000;162.97671509;
23760583;57.3;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23760442;0;0;0;0;0.912;578.791;0;0;0;-0.013;0.013;1;23760442;0;0;0;0;0;0;0;0;0;23760047;54.69460250;25.25052538;108.12519083;0.00000000;0.00000000;4.00000000;162.97671509;
23760680;57.3;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23760592;0;0;0;0;0.913;578.921;0;0;0;-0.013;0.013;1;23760593;0;0;0;0;0;0;0;0;0;23760047;54.69460250;25.25052538;108.12519083;0.00000000;0.00000000;4.00000000;162.97671509;
23760779;57.2;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23760695;0;0;0;0;0.913;578.977;0;0;0;-0.013;0.013;1;23760696;0;0;0;0;0;0;0;0;0;23760047;54.69460250;25.25052538;108.12519083;0.00000000;0.00000000;4.00000000;162.97671509;
23760890;57.3;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23760781;0;0;0;0;0.913;578.985;0;0;0;-0.013;0.013;1;23760781;0;0;0;0;0;0;0;0;0;23760047;54.69460250;25.25052538;108.12519083;0.00000000;0.00000000;4.00000000;162.97671509;
23761020;57.2;19.5;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23760890;0;0;0;0;0.913;578.999;0;0;0;-0.013;0.013;1;23760891;0;0;0;0;0;0;0;0;0;23760047;54.69460250;25.25052538;108.12519083;0.00000000;0.00000000;4.00000000;162.97671509;
23761119;57.4;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23761073;0;0;0;0;0.913;579.03;0;0;0;-0.013;0.013;1;23761073;0;0;0;0;0;0;0;0;0;23760047;54.69460250;25.25052538;108.12519083;0.00000000;0.00000000;4.00000000;162.97671509;
23761313;57.4;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0.001;23761219;0;0;0;0;0.913;579.018;0;0;0;-0.013;0.013;1;23761219;0;0;0;0;0;0;0;0;0;23760047;54.69460250;25.25052538;108.12519083;0.00000000;0.00000000;4.00000000;162.97671509;
23761462;57.2;19.4;0;0;0;16.4;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23761317;0;0;0;0;0.913;579.04;0;0;0;-0.013;0.013;1;23761317;0;0;0;0;0;0;0;0;0;23761017;54.69461415;25.25049223;135.39428144;0.00000000;0.00000000;12.00000000;82.81710052;
23761561;57.3;19.5;0;0;0;16.5;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23761465;0;0;0;0;0.913;579.112;0;0;0;-0.013;0.013;1;23761465;0;0;0;0;0;0;0;0;0;23761017;54.69461415;25.25049223;135.39428144;0.00000000;0.00000000;12.00000000;82.81710052;
23761659;57.3;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23761605;0;0;0;0;0.913;579.193;0;0;0;-0.013;0.013;1;23761605;0;0;0;0;0;0;0;0;0;23761017;54.69461415;25.25049223;135.39428144;0.00000000;0.00000000;12.00000000;82.81710052;
23761752;57.3;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23761707;0;0;0;0;0.913;579.184;0;0;0;-0.013;0.013;1;23761707;0;0;0;0;0;0;0;0;0;23761017;54.69461415;25.25049223;135.39428144;0.00000000;0.00000000;12.00000000;82.81710052;
23761851;57.2;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0;23761803;0;0;0;0;0.913;579.187;0;0;0;-0.013;0.013;1;23761804;0;0;0;0;0;0;0;0;0;23761017;54.69461415;25.25049223;135.39428144;0.00000000;0.00000000;12.00000000;82.81710052;
23761954;57.3;19.4;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;-0.001;0;23761904;0;0;0;0;0.913;579.137;0;0;0;-0.013;0.013;1;23761904;0;0;0;0;0;0;0;0;0;23761017;54.69461415;25.25049223;135.39428144;0.00000000;0.00000000;12.00000000;82.81710052;
23762056;57.2;19.5;0;0;0;16.6;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23762004;0;0;0;0;0.913;579.152;0;0;0;-0.013;0.013;1;23762005;0;0;0;0;0;0;0;0;0;23761017;54.69461415;25.25049223;135.39428144;0.00000000;0.00000000;12.00000000;82.81710052;
23762192;57.3;19.5;0;0;0;16.7;0;0;0;0;0;0;0;0;0;0;-2;2;54;0;99;0;0.001;23762145;0;0;0;0;0.913;579.157;0;0;0;-0.013;0.013;1;23762145;0;0;0;0;0;0;0;0;0;23761017;54.69461415;25.25049223;135.39428144;0.00000000;0.00000000;12.00000000;82.81710052;
